No.,Time,Source,Destination,Protocol,Length,Source,Destination,,,,,
8790,4.05634,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8791,4.057386,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8792,4.057653,2547382769,2203667416,10,1438,151.213.249.241,131.89.75.216,,,,,
8793,4.058323,2203667416,1207432935,10,522,131.89.75.216,71.247.246.231,,,,,
8794,4.058366,2203667416,1207419547,10,70,131.89.75.216,71.247.194.155,,,,,
8795,4.058606,2203667416,3692741398,10,740,131.89.75.216,220.26.195.22,,,,,
8796,4.058667,2203667416,2547382769,10,64,131.89.75.216,151.213.249.241,,,,,
8797,4.058674,2203696600,3447973609,10,64,131.89.189.216,205.131.230.233,,,,,
8798,4.059114,3375367982,2203689291,10,1438,201.48.7.46,131.89.161.75,,,,,
8799,4.060149,840334350,2203689291,10,1338,50.22.124.14,131.89.161.75,,,,,
8800,4.061468,840334350,2203689291,10,1338,50.22.124.14,131.89.161.75,,,,,
8801,4.062204,2203689291,840334350,10,64,131.89.161.75,50.22.124.14,,,,,
8802,4.062938,840334350,2203689291,10,1338,50.22.124.14,131.89.161.75,,,,,
8803,4.063047,2203686788,1186904716,10,64,131.89.151.132,70.190.186.140,,,,,
8804,4.063668,2203689291,840334350,10,64,131.89.161.75,50.22.124.14,,,,,
8805,4.064012,840334350,2203689291,10,1338,50.22.124.14,131.89.161.75,,,,,
8806,4.064747,2203689291,840334350,10,64,131.89.161.75,50.22.124.14,,,,,
8807,4.065598,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8808,4.065714,3296060491,3579350585,10,78,196.117.228.75,213.88.142.57,,,,,
8809,4.065961,3296060491,3579350585,10,78,196.117.228.75,213.88.142.57,,,,,
8810,4.066649,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8811,4.06692,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8812,4.068006,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8813,4.068364,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8814,4.068481,2540371957,2203667416,10,70,151.106.255.245,131.89.75.216,,,,,
8815,4.068488,3475173993,2203697458,10,64,207.34.242.105,131.89.193.50,,,,,
8816,4.068495,2540371957,2203667416,10,70,151.106.255.245,131.89.75.216,,,,,
8817,4.069159,2540371957,2203667416,10,920,151.106.255.245,131.89.75.216,,,,,
8818,4.069234,3475173993,2203697458,10,64,207.34.242.105,131.89.193.50,,,,,
8819,4.069241,843256623,2203670823,7,96,50.67.19.47,131.89.89.39,,,,,
8820,4.06925,3475173993,2203697458,10,64,207.34.242.105,131.89.193.50,,,,,
8821,4.069257,3566113884,2203664976,10,64,212.142.148.92,131.89.66.80,,,,,
8822,4.069467,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8823,4.069744,2203667416,2540371957,10,70,131.89.75.216,151.106.255.245,,,,,
8824,4.070267,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8825,4.070374,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8826,4.070488,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8827,4.070657,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8828,4.07079,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8829,4.070918,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8830,4.071051,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8831,4.071183,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8832,4.071332,2203697458,3475173993,10,1082,131.89.193.50,207.34.242.105,,,,,
8833,4.07142,2376784772,2203689291,10,1438,141.170.219.132,131.89.161.75,,,,,
8834,4.071537,1191436815,2203667416,10,326,71.3.226.15,131.89.75.216,,,,,
8835,4.072058,2203667416,1191436815,10,70,131.89.75.216,71.3.226.15,,,,,
8836,4.072152,2203689291,2376784772,10,70,131.89.161.75,141.170.219.132,,,,,
